player_name,birthdate,turned_pro,weight_kg,height_cm,handedness,backhand,percentage_aces,percentage_df,percentage_1stwon,percentage_bpsaved,percentage_bpobtained,percentage_bpconverted
alsaygh_a.,1996.02.12,,,,Right-Handed,Two-Handed Backhand,,,,,,
arias_m.,1997.05.21,,,,,,,,,,,
altamirano_c.,1995.12.07,,84.0,188.0,Right-Handed,Two-Handed Backhand,0.0471519907003778,0.03639930252833479,0.6917312661498708,0.5208333333333334,0.01485148514851485,0.33333333333333337
andrijic_j.,1995.10.03,,,,Right-Handed,Two-Handed Backhand,,,,,,
almohamoud_a.,1996.11.02,,,,,,,,,,,
aljufairi_a.,1997.08.29,,,,,,,,,,,
alzeyara_j.,1997.12.09,,,,,,,,,,,
agabigun_s.,1997.06.12,,75.0,178.0,Right-Handed,Two-Handed Backhand,0.0684931506849315,0.0273972602739726,0.75,0.75,0.10666666666666667,0.5
armytage_r.,,,,,,,,,,,,
ayling_t.,,,,,,,,,,,,
andrade_a.,,,,,,,,,,,,
anastopoulos_a.,1958.02.05,,,,,,,,,,,
akhtar_u.,,,,,,,,,,,,
akbari_s.,,,,,,,,,,,,
aznar_b.,,,,,,,,,,,,
anderson_o.,1998.04.30,,73.0,175.0,Right-Handed,Two-Handed Backhand,0.057692307692307696,0.019230769230769232,0.7333333333333333,0.5,0.0,
appelgren_d.,1996.05.06,,67.0,175.0,Right-Handed,Two-Handed Backhand,,,,,,
akbari_b.,,,,,,,,,,,,
alvarez_u.,,,,,,,,,,,,
atwell_g.,,,,,,,,,,,,
aracri_m.,1952.01.09,,,,,,,,,,,
arconada_j.,1996.09.06,,70.0,180.0,Right-Handed,Two-Handed Backhand,,,,,,
arilla_a.,,,,,,,,,,,,
adamstolpa_a.,1921.09.15,,,,,,,,,,,
applewhaite_c.,,,,,,,,,,,,
asai_m.,,,,,,,,,,,,
alla_s.,1993.07.25,,,,Right-Handed,Two-Handed Backhand,,,,,,
adelsberg_b.,,,,,,,,,,,,
ampon_f.,1920.01.27,,,,,,,,,,,
abdesselam_r.,1920.01.27,,,,,,,,,,,
amanazman_s.,,,,,,,,,,,,
asz_d.,,,,,,,,,,,,
adamson_t.,,,,,,,,,,,,
ali_a.,1939.07.05,,,,,,,,,,,
ambrose_r.,1940.04.13,,,,,,,,,,,
achondo_d.,1939.10.05,,,,,,,,,,,
alleyne_g.,,,,,,,,,,,,
argon_e.,,,,,,,,,,,,
avidanweiss_a.,1928.04.19,,,,,,,,,,,
atkinson_e.,,,,,,,,,,,,
arkinstall_j.,,,,,,,,,,,,
asboth_j.,1917.09.18,,,,,,,,,,,
alger_r.,,,,,,,,,,,,
ahmad_r.,,,,,,,,,,,,
aguero_j.,1933.02.27,,,,,,,,,,,
ayre_i.,,,,,,,,,,,,
alle_a.,1930.03.04,,,,,,,,,,,
arnold_j.,,,,,,,,,,,,
alloo_e.,,,,,,,,,,,,
albrecht_m.,,,,,,,,,,,,
axelsson_b.,1928.11.12,,,,,,,,,,,
anthony_g.,,,,,,,,,,,,
apel_m.,,,,,,,,,,,,
alam_m.,,,,,,,,,,,,
allison_w.,1904.12.08,,,,,,,,,,,
arago_j.,,,,,,,,,,,,
aslangul_l.,,,,,,,,,,,,
augustin_j.,,,,,,,,,,,,
avory_e.,,,,,,,,,,,,
alonsoareyzaga_m.,1895.11.12,,,,,,,,,,,
albarran_p.,,,,,,,,,,,,
aron_a.,,,,,,,,,,,,
aeschliman_c.,,,,,,,,,,,,
atwater_h.,,,,,,,,,,,,
arce_a.,,,,,,,,,,,,
ahmed_i.,,,,,,,,,,,,
archer_j.,,,,,,,,,,,,
antignat_r.,,,,,,,,,,,,
andrews_e.,1905.07.31,,,,,,,,,,,
anderson_w.,,,,,,,,,,,,
adair_r.,,,,,,,,,,,,
amark_e.,,,,,,,,,,,,
